rainfall,temperature,soil_type,land_hectares,yield_tons,crop
1009.91,27.46,Black,4.27,23.27,Soybean
702.04,32.82,Red,6.09,22.79,Pulses
406.3,27.8,Black,7.96,29.18,Sunflower
964.18,32.24,Clay,4.4,30.34,Wheat
796.76,19.15,Sandy,2.12,18.44,Peanut
309.58,28.07,Sandy,6.25,21.11,Maize
994.32,21.95,Black,9.31,30.63,Chickpeas
669.11,16.81,Black,8.69,28.12,Chickpeas
378.15,30.49,Clay,6.73,29.37,Lentils
877.93,36.66,Sandy,3.46,31.96,Maize
623.44,31.73,Clay,7.06,28.9,Mustard
1086.57,17.81,Black,4.99,22.05,Cotton
807.88,31.52,Loamy,7.82,34.66,Potato
800.33,16.5,Red,7.93,29.22,Millet
727.79,35.17,Sandy,1.62,18.25,Peanut
687.39,15.87,Black,1.77,15.41,Sunflower
690.52,17.41,Black,7.82,29.3,Cotton
677.45,26.48,Clay,4.11,24.54,Mustard
1134.61,39.24,Loamy,6.08,31.5,Potato
983.28,25.37,Red,3.88,26.85,Pulses
895.73,34.45,Loamy,1.63,28.32,Tomato
545.51,29.94,Black,6.28,23.73,Chickpeas
979.7,34.78,Sandy,0.8,19.99,Watermelon
798.59,23.41,Black,1.96,18.29,Chickpeas
297.25,34.36,Sandy,2.59,19.0,Peanut
498.88,20.41,Loamy,9.14,28.08,Sugarcane
637.87,35.42,Red,3.11,23.28,Groundnut
1190.32,34.34,Red,2.94,31.73,Millet
546.5,38.31,Sandy,0.56,20.38,Watermelon
720.01,18.07,Sandy,2.42,22.79,Watermelon
1137.46,33.1,Clay,1.18,25.83,Barley
652.37,27.72,Clay,8.98,30.2,Wheat
546.86,28.71,Red,5.17,22.26,Groundnut
982.09,17.39,Clay,2.27,12.52,Wheat
685.42,23.84,Loamy,3.03,23.95,Sugarcane
764.35,16.48,Loamy,5.58,21.84,Potato
604.58,33.06,Sandy,2.78,23.83,Cucumber
1043.66,17.56,Black,8.31,31.99,Cotton
222.91,36.51,Loamy,6.01,25.37,Potato
691.11,31.61,Loamy,9.97,34.94,Tomato
1088.48,17.61,Loamy,4.94,29.6,Sugarcane
757.1,35.85,Loamy,6.14,31.24,Tomato
963.98,38.13,Loamy,1.17,22.43,Sugarcane
1077.24,37.45,Loamy,1.26,19.42,Tomato
696.88,30.81,Loamy,5.09,22.81,Sugarcane
1195.37,32.32,Clay,4.16,33.77,Barley
654.86,30.32,Black,3.3,19.27,Chickpeas
1006.73,24.17,Loamy,4.91,33.99,Tomato
638.4,39.01,Clay,4.82,28.86,Lentils
1152.0,20.73,Red,4.17,24.52,Pulses
1176.84,18.61,Black,7.52,32.11,Cotton
1056.81,34.96,Red,6.54,29.33,Groundnut
726.82,20.75,Black,6.87,21.79,Cotton
253.56,21.02,Red,6.02,17.95,Pulses
201.37,18.72,Red,9.96,33.65,Millet
495.61,27.17,Sandy,3.49,21.33,Watermelon
600.92,24.04,Loamy,0.56,17.43,Tomato
701.97,22.85,Loamy,5.09,29.55,Tomato
999.48,15.96,Red,6.21,26.04,Sorghum
859.12,30.43,Black,3.35,23.51,Cotton
949.65,27.62,Loamy,6.88,33.26,Rice
641.88,20.93,Sandy,3.68,22.19,Watermelon
1115.08,19.86,Sandy,7.14,35.12,Cucumber
763.2,17.03,Clay,4.6,25.97,Barley
888.16,24.75,Sandy,5.1,24.37,Maize
1182.79,16.84,Loamy,9.11,32.18,Tomato
279.05,20.22,Clay,3.23,21.06,Lentils
855.71,17.73,Sandy,9.44,29.67,Maize
838.89,35.96,Black,2.84,25.34,Chickpeas
679.27,21.97,Sandy,9.67,30.71,Maize
532.7,37.89,Loamy,9.32,31.35,Potato
526.88,25.91,Black,7.15,21.36,Cotton
525.51,18.49,Red,0.93,12.65,Groundnut
1062.01,15.14,Clay,9.38,40.03,Mustard
866.29,29.18,Sandy,5.19,29.62,Cucumber
529.01,20.99,Loamy,2.8,13.66,Rice
419.33,15.67,Red,4.39,15.81,Pulses
1000.81,31.4,Loamy,2.29,22.09,Sugarcane
281.66,22.54,Black,2.81,16.77,Cotton
298.25,22.03,Black,3.8,13.03,Soybean
1143.44,25.74,Red,9.22,36.73,Millet
777.2,16.12,Sandy,8.94,34.83,Peanut
202.87,32.96,Clay,8.86,24.97,Barley
1168.85,35.71,Clay,4.31,33.39,Lentils
697.02,34.14,Sandy,8.45,29.96,Peanut
1081.57,36.16,Red,0.99,24.55,Groundnut
1184.22,26.93,Clay,6.05,27.7,Barley
799.39,19.7,Black,8.96,35.91,Soybean
1059.53,25.38,Red,9.94,39.6,Sorghum
228.32,33.54,Red,9.3,30.47,Sorghum
327.67,37.1,Sandy,0.79,16.35,Watermelon
630.38,24.14,Sandy,2.0,18.33,Peanut
634.43,22.13,Loamy,8.99,28.55,Sugarcane
290.43,27.97,Red,0.86,13.57,Pulses
237.8,17.81,Red,1.22,6.4,Millet
531.02,31.85,Black,9.21,34.1,Chickpeas
550.82,26.8,Black,6.9,24.08,Chickpeas
323.56,16.6,Red,9.12,24.42,Millet
910.52,26.76,Red,2.12,26.06,Groundnut
356.38,15.09,Black,8.71,29.08,Chickpeas
841.17,24.68,Black,1.53,19.82,Chickpeas
604.65,36.4,Black,9.55,35.96,Chickpeas
1176.65,39.0,Red,9.74,36.24,Sorghum
900.71,23.38,Red,7.3,36.03,Millet
1125.88,18.46,Loamy,8.23,33.29,Rice
514.57,37.49,Clay,0.64,20.65,Wheat
786.87,18.75,Loamy,8.03,32.59,Rice
435.14,38.03,Black,4.65,24.41,Sunflower
927.68,31.12,Red,5.2,27.21,Millet
421.8,36.99,Clay,0.95,16.06,Barley
940.45,23.74,Clay,3.73,22.59,Wheat
367.62,26.14,Black,2.88,22.89,Sunflower
1063.88,33.17,Sandy,8.11,35.21,Peanut
910.03,19.28,Clay,9.07,35.36,Wheat
779.28,16.75,Red,2.24,21.89,Groundnut
762.27,35.4,Black,3.91,27.61,Sunflower
253.5,27.07,Red,5.99,29.09,Sorghum
765.14,28.37,Sandy,9.75,32.31,Cucumber
815.21,38.96,Sandy,2.9,30.48,Peanut
225.99,33.13,Sandy,1.87,18.1,Cucumber
812.72,21.78,Loamy,1.78,15.79,Sugarcane
692.14,37.12,Sandy,3.12,23.24,Watermelon
840.61,38.45,Loamy,8.99,35.17,Rice
483.13,32.15,Sandy,6.97,28.59,Maize
426.63,37.44,Red,0.65,17.64,Groundnut
763.22,31.42,Clay,4.58,28.02,Mustard
545.71,17.49,Loamy,9.76,29.9,Tomato
251.8,26.96,Loamy,9.96,30.76,Rice
585.05,24.5,Red,9.69,33.61,Sorghum
1059.92,17.21,Red,9.19,30.46,Sorghum
241.47,28.05,Sandy,9.31,27.79,Cucumber
957.6,34.61,Sandy,7.94,36.71,Maize
296.55,23.11,Sandy,0.81,7.06,Cucumber
708.01,29.03,Black,6.87,28.43,Cotton
528.58,21.15,Sandy,3.3,20.21,Peanut
595.67,15.71,Red,5.94,25.38,Pulses
925.16,35.19,Sandy,3.21,24.25,Maize
257.76,24.03,Red,2.45,11.28,Groundnut
411.71,33.89,Sandy,1.58,13.04,Peanut
1160.97,31.93,Black,5.15,32.02,Cotton
991.88,31.52,Red,6.56,34.7,Groundnut
1198.13,28.31,Sandy,0.57,22.35,Maize
1126.04,18.6,Red,4.63,19.05,Millet
215.58,35.68,Black,9.19,25.17,Soybean
1111.45,28.35,Black,5.41,29.39,Soybean
1156.97,16.38,Loamy,4.74,31.7,Rice
979.24,15.72,Loamy,3.91,15.63,Rice
836.16,24.24,Sandy,1.55,19.38,Maize
310.46,38.25,Sandy,1.2,15.89,Watermelon
739.32,16.49,Clay,5.88,19.86,Mustard
495.69,30.1,Loamy,6.61,23.06,Rice
1003.23,18.52,Black,9.43,37.39,Soybean
493.91,26.4,Black,3.55,12.3,Sunflower
744.46,31.06,Sandy,3.01,22.65,Maize
753.11,23.77,Clay,7.51,31.71,Wheat
1127.48,36.67,Loamy,2.83,24.64,Potato
235.88,19.93,Black,2.5,13.52,Sunflower
711.76,34.44,Sandy,6.32,27.6,Watermelon
728.01,34.5,Loamy,0.64,19.83,Rice
869.22,34.42,Sandy,6.2,32.86,Watermelon
554.28,27.04,Sandy,2.25,17.75,Cucumber
304.55,36.83,Sandy,3.27,18.77,Cucumber
641.65,39.69,Clay,8.33,35.81,Barley
1033.97,20.47,Loamy,4.34,22.17,Sugarcane
669.74,17.67,Sandy,1.56,14.16,Peanut
675.05,31.29,Sandy,3.82,20.54,Cucumber
202.65,18.83,Black,6.0,19.3,Cotton
799.99,23.07,Clay,2.32,14.31,Mustard
429.16,26.28,Sandy,8.91,32.42,Watermelon
943.69,15.44,Red,2.57,16.82,Sorghum
874.38,16.28,Sandy,3.35,20.65,Maize
468.02,32.81,Red,9.1,33.14,Millet
1174.0,26.34,Sandy,0.54,23.42,Maize
358.43,17.2,Red,9.66,30.33,Millet
603.22,28.95,Sandy,8.94,33.03,Maize
423.88,26.93,Clay,0.61,7.3,Barley
1081.84,19.68,Black,0.67,16.21,Sunflower
776.01,26.08,Sandy,8.53,29.46,Cucumber
342.01,15.61,Clay,8.74,29.75,Barley
956.41,36.24,Black,3.42,26.17,Soybean
398.12,22.19,Red,4.45,16.33,Millet
1076.44,28.1,Black,4.3,23.59,Sunflower
246.02,19.95,Red,2.19,14.74,Millet
1043.9,22.35,Clay,0.66,20.98,Lentils
290.05,22.03,Sandy,7.5,27.48,Watermelon
455.0,25.32,Clay,5.0,22.42,Mustard
1019.59,38.99,Loamy,7.38,38.55,Potato
1066.02,37.94,Loamy,1.18,26.04,Rice
1157.62,18.38,Black,6.2,29.15,Soybean
231.49,22.49,Red,2.05,16.85,Groundnut
865.17,19.55,Black,6.32,21.54,Chickpeas
669.57,15.57,Loamy,0.86,10.73,Rice
706.77,38.43,Sandy,9.2,32.81,Maize
831.95,17.48,Sandy,6.95,28.19,Watermelon
634.72,20.34,Red,1.52,19.61,Sorghum
922.76,32.19,Black,8.34,40.19,Cotton
549.89,21.23,Loamy,7.93,29.3,Tomato
483.91,20.05,Clay,2.01,16.93,Lentils
357.37,36.18,Red,5.67,28.44,Pulses
575.22,22.54,Red,1.02,17.4,Groundnut
525.78,34.9,Red,9.47,39.85,Sorghum
828.18,34.76,Loamy,1.35,21.48,Potato
275.65,25.46,Red,6.38,18.93,Millet
1017.57,35.3,Loamy,4.62,33.96,Tomato
645.05,33.0,Clay,7.22,30.3,Lentils
578.89,35.61,Black,4.47,24.7,Soybean
811.28,34.65,Red,8.53,35.52,Groundnut
780.51,19.4,Sandy,1.42,13.02,Maize
1179.96,29.25,Black,0.55,23.27,Cotton
321.83,30.52,Clay,7.31,27.82,Mustard
522.75,15.5,Loamy,3.96,16.7,Rice
299.54,17.81,Sandy,1.38,11.6,Maize
1079.37,16.62,Clay,0.97,21.31,Lentils
701.58,35.9,Red,2.95,19.29,Sorghum
923.55,22.31,Clay,2.3,15.48,Lentils
1037.48,22.52,Loamy,7.78,36.04,Rice
557.42,31.82,Sandy,7.29,28.69,Watermelon
1119.52,18.13,Red,5.57,29.0,Pulses
1118.86,28.89,Black,9.33,39.61,Soybean
208.4,39.57,Red,9.52,33.71,Sorghum
430.38,39.01,Red,0.74,11.2,Millet
543.45,38.08,Black,2.28,18.39,Soybean
968.73,15.85,Loamy,8.34,30.12,Tomato
231.39,33.78,Loamy,2.79,21.79,Tomato
955.21,26.75,Clay,0.58,16.59,Barley
1101.12,19.43,Clay,2.31,19.23,Wheat
612.34,34.14,Black,9.71,39.68,Chickpeas
764.93,30.27,Loamy,3.61,22.89,Sugarcane
672.5,20.84,Sandy,5.9,24.42,Peanut
365.53,23.79,Red,1.67,14.08,Sorghum
584.11,30.27,Clay,1.74,20.07,Mustard
963.71,23.94,Sandy,4.91,26.55,Maize
200.06,19.73,Loamy,3.12,11.28,Potato
699.97,27.38,Red,2.22,24.04,Groundnut
866.35,15.97,Red,4.34,18.45,Groundnut
451.53,29.32,Black,4.88,24.73,Soybean
542.11,25.12,Black,7.76,32.73,Soybean
673.22,21.19,Black,7.48,26.13,Chickpeas
1021.24,39.02,Loamy,8.49,38.68,Potato
1183.03,39.09,Sandy,1.5,26.96,Watermelon
600.32,28.83,Loamy,9.95,34.59,Sugarcane
673.87,16.66,Red,1.62,13.51,Pulses
663.12,25.19,Sandy,3.02,23.11,Cucumber
986.96,21.88,Loamy,5.44,24.47,Rice
669.37,15.1,Red,9.31,27.4,Pulses
303.61,16.1,Clay,1.47,11.7,Mustard
435.9,35.55,Red,6.05,29.82,Sorghum
973.71,38.73,Sandy,2.82,30.1,Maize
1170.55,25.0,Sandy,6.28,34.04,Peanut
671.78,25.76,Red,7.69,33.43,Pulses
690.04,27.51,Black,5.84,26.3,Cotton
424.61,22.91,Clay,2.71,14.49,Wheat
383.02,30.2,Loamy,8.03,31.78,Sugarcane
511.75,20.38,Sandy,4.97,20.97,Watermelon
772.55,34.62,Clay,4.59,31.47,Lentils
1134.92,34.6,Black,3.79,31.15,Soybean
911.44,15.62,Red,1.43,16.81,Millet
782.06,25.65,Red,2.65,24.0,Pulses
637.84,21.58,Sandy,7.69,25.2,Peanut
456.48,23.77,Clay,5.96,20.89,Wheat
775.7,17.42,Loamy,9.1,34.29,Tomato
462.15,16.31,Black,3.8,14.69,Chickpeas
858.02,25.61,Sandy,5.0,24.75,Cucumber
1166.06,23.68,Black,1.44,16.42,Chickpeas
226.97,22.64,Black,0.86,12.61,Cotton
1158.33,37.15,Black,1.53,26.06,Cotton
1012.11,38.62,Red,0.56,18.44,Pulses
481.79,31.73,Black,2.87,17.14,Cotton
246.98,18.32,Clay,2.99,13.79,Mustard
632.68,33.96,Clay,3.61,19.86,Barley
926.08,36.26,Red,2.73,24.69,Pulses
511.54,38.65,Black,5.03,25.76,Soybean
295.17,23.48,Loamy,6.0,25.33,Sugarcane
913.31,27.48,Loamy,5.85,28.35,Tomato
233.55,32.58,Loamy,3.97,14.54,Sugarcane
483.37,27.9,Loamy,8.49,28.79,Potato
434.33,25.77,Clay,6.89,27.68,Lentils
694.85,19.39,Loamy,1.0,19.03,Potato
360.45,39.13,Sandy,8.1,34.64,Peanut
916.49,31.74,Clay,7.36,35.14,Wheat
327.91,23.2,Red,0.75,7.2,Sorghum
688.25,26.63,Black,5.59,26.24,Sunflower
843.81,36.12,Sandy,7.65,35.09,Watermelon
691.93,33.56,Black,1.98,23.01,Soybean
677.36,25.84,Red,2.82,21.96,Millet
398.01,32.95,Red,2.58,16.64,Millet
1154.83,34.73,Sandy,1.1,21.41,Watermelon
1133.22,25.62,Loamy,9.97,36.15,Tomato
812.54,36.46,Black,4.43,32.31,Sunflower
633.14,23.87,Sandy,7.59,32.21,Maize
864.38,32.2,Clay,3.57,27.25,Mustard
610.19,27.6,Clay,1.83,12.77,Lentils
1103.28,35.97,Black,5.42,36.31,Chickpeas
551.37,34.18,Red,9.82,34.32,Millet
1105.6,37.3,Red,8.65,37.5,Sorghum
870.94,25.68,Black,8.29,34.93,Sunflower
965.72,20.13,Loamy,7.69,34.46,Potato
212.71,33.01,Sandy,2.42,18.33,Maize
825.79,23.58,Black,1.4,18.6,Sunflower
1031.46,37.46,Loamy,9.98,45.84,Rice
655.3,34.21,Red,6.04,24.59,Millet
819.95,24.76,Clay,2.77,21.73,Barley
433.05,22.65,Clay,3.99,18.46,Lentils
611.55,26.58,Sandy,8.02,30.11,Cucumber
652.95,17.27,Clay,0.84,18.15,Mustard
475.23,34.94,Black,9.6,37.25,Sunflower
985.47,22.14,Sandy,2.79,22.32,Watermelon
612.2,27.13,Sandy,3.88,17.44,Cucumber
590.95,35.9,Loamy,0.9,17.37,Rice
835.83,23.39,Loamy,4.69,26.2,Potato
431.96,35.1,Loamy,3.19,21.3,Rice
996.82,16.94,Sandy,7.21,24.5,Peanut
962.35,30.56,Loamy,7.93,37.62,Sugarcane
883.98,27.89,Clay,1.76,22.32,Barley
356.55,21.39,Sandy,9.19,26.62,Cucumber
979.05,15.66,Loamy,4.37,24.16,Potato
844.46,38.91,Loamy,9.57,43.68,Rice
599.82,38.7,Clay,1.89,20.39,Barley
1021.9,34.44,Black,5.83,30.19,Cotton
679.01,28.2,Red,6.85,31.21,Sorghum
687.78,27.37,Clay,3.38,19.56,Mustard
807.27,24.56,Black,0.85,18.12,Cotton
1103.51,18.27,Clay,3.84,24.09,Barley
1021.74,20.47,Clay,6.46,30.38,Mustard
1002.89,18.18,Red,7.17,28.32,Pulses
988.09,26.47,Red,2.92,20.5,Millet
860.64,33.41,Red,0.8,17.06,Millet
1034.81,15.03,Red,0.9,17.8,Millet
456.24,32.08,Red,9.32,30.92,Millet
918.55,37.45,Red,2.01,25.67,Pulses
1148.89,19.73,Red,2.4,19.07,Groundnut
711.14,26.59,Sandy,5.08,29.85,Maize
619.57,38.01,Sandy,7.23,34.53,Watermelon
752.44,31.14,Black,0.81,19.9,Chickpeas
1020.59,35.79,Loamy,7.83,30.86,Potato
211.43,28.63,Clay,2.51,17.12,Mustard
813.16,32.7,Black,2.26,20.66,Soybean
921.75,34.63,Sandy,8.39,34.07,Watermelon
615.45,37.84,Loamy,1.22,19.61,Potato
1198.97,20.86,Red,1.45,22.82,Sorghum
309.88,31.77,Red,7.87,26.22,Sorghum
528.27,24.46,Clay,6.36,21.14,Wheat
1077.87,36.34,Black,6.84,31.42,Chickpeas
519.91,34.78,Sandy,5.7,29.92,Cucumber
871.7,39.19,Sandy,0.71,17.76,Peanut
1067.22,23.8,Red,0.56,16.65,Pulses
1034.8,30.6,Clay,8.12,40.13,Lentils
625.7,33.03,Clay,2.51,20.35,Wheat
525.26,35.64,Loamy,2.66,18.88,Rice
484.96,32.03,Black,1.93,18.58,Sunflower
575.66,29.36,Red,3.2,20.87,Pulses
578.74,33.26,Loamy,9.18,30.74,Tomato
1116.84,28.76,Clay,7.75,32.2,Wheat
925.98,30.36,Black,2.44,16.04,Soybean
332.36,30.08,Red,2.24,20.19,Sorghum
777.54,30.21,Black,9.37,36.76,Chickpeas
248.43,30.58,Red,6.35,26.75,Millet
259.11,31.24,Clay,6.68,25.37,Barley
503.87,21.36,Sandy,7.51,29.08,Maize
286.42,25.17,Red,7.94,32.76,Groundnut
648.57,17.48,Loamy,8.42,33.83,Sugarcane
677.18,22.21,Sandy,2.75,18.53,Cucumber
769.5,32.12,Clay,2.13,23.67,Mustard
758.54,19.7,Loamy,6.48,20.46,Rice
497.58,17.12,Clay,7.73,21.13,Lentils
911.5,34.76,Clay,4.95,29.02,Lentils
1169.4,15.46,Sandy,9.29,35.02,Peanut
630.51,17.75,Red,5.13,18.94,Groundnut
450.65,16.48,Red,8.96,34.16,Sorghum
1173.72,22.06,Black,8.44,35.88,Soybean
252.31,28.76,Red,2.22,20.78,Pulses
506.44,18.95,Sandy,8.47,30.36,Watermelon
204.75,18.69,Loamy,6.59,23.95,Rice
852.58,36.16,Black,9.66,32.01,Cotton
408.17,15.85,Red,4.81,21.1,Millet
1122.15,24.99,Loamy,3.41,25.65,Tomato
582.84,31.35,Black,8.83,34.65,Cotton
944.11,35.35,Sandy,2.63,23.67,Maize
259.01,19.66,Clay,9.04,24.82,Wheat
1105.29,34.91,Black,0.65,22.37,Soybean
659.15,34.29,Loamy,9.51,37.21,Sugarcane
945.25,27.29,Loamy,6.46,37.24,Rice
248.74,23.33,Clay,3.19,11.81,Barley
507.96,27.75,Loamy,6.87,27.42,Sugarcane
861.5,30.03,Black,0.95,22.62,Chickpeas
1035.19,38.82,Loamy,6.69,29.42,Rice
641.36,25.11,Red,7.23,26.46,Groundnut
638.76,26.38,Loamy,5.93,24.58,Sugarcane
820.2,36.21,Black,9.72,38.89,Chickpeas
797.44,21.54,Sandy,7.98,33.71,Cucumber
452.89,33.02,Sandy,2.39,16.25,Watermelon
397.2,36.72,Sandy,6.96,27.85,Watermelon
894.76,15.67,Loamy,5.75,23.19,Tomato
281.11,23.44,Red,9.31,26.02,Millet
708.88,17.23,Loamy,9.16,30.98,Tomato
333.91,33.5,Red,5.97,21.06,Millet
338.91,33.34,Black,2.59,14.11,Cotton
923.98,21.48,Black,2.28,26.55,Cotton
522.5,32.84,Clay,9.97,30.98,Barley
824.09,35.8,Sandy,8.37,32.96,Cucumber
870.28,28.54,Clay,5.07,28.19,Wheat
1174.75,29.54,Loamy,3.66,35.08,Sugarcane
815.33,32.97,Clay,1.75,19.56,Mustard
1017.11,27.57,Loamy,8.44,37.39,Sugarcane
348.1,23.77,Red,3.97,19.95,Millet
240.22,34.41,Loamy,0.68,18.22,Potato
918.06,15.64,Sandy,7.81,30.88,Maize
791.12,28.99,Loamy,2.35,19.82,Sugarcane
1024.85,23.42,Loamy,8.0,36.67,Tomato
1090.92,24.85,Loamy,0.8,17.96,Sugarcane
794.93,34.11,Loamy,2.68,24.51,Tomato
265.58,30.08,Clay,3.51,20.03,Mustard
213.56,15.5,Sandy,5.85,22.4,Peanut
1144.86,19.62,Sandy,5.85,38.33,Watermelon
478.27,33.6,Sandy,8.27,32.92,Maize
1011.44,22.97,Loamy,8.96,34.42,Tomato
365.44,30.07,Clay,6.2,24.2,Mustard
1124.55,17.48,Clay,2.61,22.43,Lentils
527.86,18.72,Clay,6.06,22.64,Mustard
407.01,19.21,Clay,3.4,20.17,Barley
762.13,37.5,Sandy,2.79,21.81,Maize
455.36,28.97,Loamy,5.44,24.55,Rice
956.95,33.79,Loamy,2.71,21.42,Sugarcane
355.76,27.28,Loamy,8.71,31.52,Tomato
563.51,28.36,Black,5.03,23.75,Chickpeas
1174.65,34.8,Red,6.38,35.02,Groundnut
895.96,20.28,Loamy,9.09,36.75,Tomato
363.91,27.21,Black,3.07,13.56,Chickpeas
221.06,23.3,Loamy,5.55,19.97,Potato
375.07,30.77,Black,5.91,23.77,Cotton
607.35,37.45,Black,3.23,25.34,Sunflower
609.68,19.4,Sandy,5.57,22.59,Cucumber
1189.71,30.77,Clay,1.77,24.36,Mustard
1047.39,19.59,Red,4.02,26.08,Sorghum
358.73,33.88,Red,8.1,25.06,Millet
845.96,17.85,Black,0.5,17.81,Soybean
1026.88,34.87,Clay,3.98,30.85,Lentils
1103.75,16.69,Red,2.75,27.85,Groundnut
953.26,27.64,Red,4.07,25.44,Pulses
807.91,34.5,Black,1.34,22.13,Soybean
859.05,26.7,Red,7.74,30.61,Millet
668.51,21.31,Clay,7.63,27.6,Lentils
740.32,33.6,Sandy,6.13,28.29,Cucumber
1014.68,29.79,Clay,0.85,21.0,Mustard
789.43,29.8,Red,3.17,22.51,Pulses
958.23,31.25,Loamy,4.24,25.11,Rice
476.6,15.24,Sandy,5.34,16.85,Watermelon
543.75,16.27,Loamy,4.25,14.96,Rice
1045.18,35.03,Black,4.62,34.38,Chickpeas
370.15,24.71,Sandy,1.99,17.6,Maize
756.2,36.6,Red,4.92,28.98,Sorghum
1011.53,18.79,Red,1.67,19.37,Sorghum
1152.92,24.95,Sandy,3.27,22.49,Maize
710.29,26.8,Red,2.87,16.89,Millet
857.62,27.63,Sandy,5.79,21.99,Cucumber
1038.41,21.18,Sandy,1.29,22.04,Maize
897.09,36.9,Red,4.73,29.04,Sorghum
1079.71,39.45,Clay,1.88,25.82,Mustard
220.18,24.38,Red,7.07,25.08,Groundnut
578.93,35.5,Red,7.3,30.58,Sorghum
1066.94,32.18,Sandy,2.52,24.18,Maize
397.16,20.82,Clay,3.0,10.56,Lentils
573.59,38.9,Red,7.78,33.44,Groundnut
1074.63,29.01,Sandy,4.51,31.92,Peanut
755.33,37.28,Black,6.14,28.23,Chickpeas
1193.07,21.4,Loamy,0.71,25.42,Tomato
793.38,19.04,Loamy,3.54,20.67,Sugarcane
294.72,30.35,Red,1.38,16.84,Sorghum
1001.27,36.31,Clay,4.39,30.47,Mustard
283.88,22.19,Clay,3.68,19.57,Lentils
492.6,38.39,Sandy,0.56,19.16,Peanut
665.77,38.94,Sandy,5.04,30.43,Maize
1015.9,21.89,Black,6.17,24.1,Cotton
658.63,28.16,Black,1.79,19.76,Chickpeas
991.68,15.94,Sandy,9.29,34.93,Cucumber
997.12,23.03,Sandy,3.62,23.6,Maize
322.57,34.53,Red,6.75,28.35,Pulses
748.43,21.79,Loamy,6.62,30.49,Sugarcane
541.43,23.68,Red,4.3,16.42,Sorghum
1130.87,24.51,Black,6.46,29.77,Chickpeas
574.55,24.94,Red,7.61,32.03,Sorghum
1177.15,25.14,Sandy,3.26,29.23,Watermelon
724.5,31.05,Clay,2.72,27.48,Lentils
312.61,39.38,Clay,5.27,24.73,Barley
1011.7,28.42,Red,6.33,30.62,Sorghum
529.58,15.07,Sandy,9.0,33.51,Maize
